"","Sum Sq","Df","F value","Pr(>F)","PctExp","constrasts","Region","Stain","FDR_adjusted_pval","group1","group2"
"Age.Harvested135",196.868510714193,1,21.5934752544145,0.000155453988335956,37.7234982385174,"Age.Harvested","Lateral.group.of.the.dorsal.thalamus","Iba1",0.000381695060646321,6,14
"Age.Harvested136",173.032957420084,1,28.0859396563568,3.4652364877081e-05,46.2829277947148,"Age.Harvested","Lateral.septal.complex","Iba1",9.25184499145367e-05,6,14
"Age.Harvested137",281.485752687672,1,27.9942671140326,3.53407255519137e-05,48.8667501950429,"Age.Harvested","Medial.group.of.the.dorsal.thalamus","Iba1",9.34490339113104e-05,6,14
"Age.Harvested138",225.622292664176,1,94.9249658367819,4.89326568932745e-09,72.9664646677474,"Age.Harvested","Mid_Hind_Medulla","Iba1",4.34080020827435e-08,6,14
"Age.Harvested139",228.420376074944,1,122.208102133774,5.71201299830458e-10,74.5109578822764,"Age.Harvested","Midbrain","Iba1",7.48001702158932e-09,6,14
"Age.Harvested140",89.5175655401732,1,11.2301615369434,0.00317981583400656,28.0941282959028,"Age.Harvested","Midbrain..behavioral.state.related","Iba1",0.00624606681679861,6,14
"Age.Harvested141",272.617005227292,1,113.848659681233,1.05170479943623e-09,72.7533012151088,"Age.Harvested","Midbrain..motor.related","Iba1",1.25747312976071e-08,6,14
"Age.Harvested142",102.407000216724,1,30.5594235009415,2.06757043777525e-05,55.1371182277016,"Age.Harvested","Midbrain..sensory.related","Iba1",5.86166876688859e-05,6,14
"Age.Harvested143",13.3433758575327,1,7.38324058940893,0.0132682215714593,15.4277713223426,"Age.Harvested","Midline.group.of.the.dorsal.thalamus","Iba1",0.0241639796831213,6,14
"Age.Harvested144",302.052656265646,1,28.9160257785808,2.9050181354269e-05,46.6616984155448,"Age.Harvested","Nucleus.accumbens","Iba1",7.83215673767057e-05,6,14
"Age.Harvested145",195.766494921493,1,70.8688014653825,5.25668927020607e-08,66.9077007330877,"Age.Harvested","Olfactory.areas","Iba1",2.95018275368708e-07,6,14
"Age.Harvested146",221.465701977724,1,109.190679908343,1.50300101572046e-09,72.3895690935553,"Age.Harvested","Olfactory.tubercle","Iba1",1.54757671335537e-08,6,14
"Age.Harvested147",301.075431746833,1,57.8306350897688,2.5274888352552e-07,70.9037223275357,"Age.Harvested","Pallidum","Iba1",1.18078700243312e-06,6,14
"Age.Harvested148",28.8217031873501,1,3.29757322296043,0.0844047753639622,10.4127782061889,"Age.Harvested","Parasubiculum","Iba1",0.126148441440704,6,14
"Age.Harvested149",190.175548909507,1,9.0361135887273,0.00698075074359976,25.4415176542167,"Age.Harvested","Pons","Iba1",0.0134245206607688,6,14
"Age.Harvested150",144.942607306189,1,6.85736007890668,0.0164488425340403,20.1855657636839,"Age.Harvested","Pons..behavioral.state.related","Iba1",0.0293729330965005,6,14
"Age.Harvested151",308.462387064983,1,4.9687660972091,0.0374376917050965,16.7078286595716,"Age.Harvested","Pons..motor.related","Iba1",0.0620202724030212,6,14
"Age.Harvested152",16.2953429045816,1,0.91478056917839,0.350268444477353,3.47842690956432,"Age.Harvested","Pons..sensory.related","Iba1",0.426211602793239,6,14
"Age.Harvested153",305.759883141851,1,24.5310199335764,7.65990145302166e-05,43.7681897645906,"Age.Harvested","Posterior.amygdalar.nucleus","Iba1",0.000191497536325542,6,14
"Age.Harvested154",169.534261004125,1,25.9863736389952,5.4929690265077e-05,41.1764288048296,"Age.Harvested","Postsubiculum","Iba1",0.000141174437597161,6,14
"Age.Harvested155",56.0552747869737,1,7.89798245985956,0.010807109558396,20.7600003744128,"Age.Harvested","Presubiculum","Iba1",0.0200807778956682,6,14
"Age.Harvested156",471.670520721236,1,58.4881050531063,2.32059952828649e-07,53.7542569851735,"Age.Harvested","Reticular.nucleus.of.the.thalamus","Iba1",1.11958749171717e-06,6,14
"Age.Harvested157",104.573064948365,1,31.2865947011234,1.78526867537692e-05,49.5135631455154,"Age.Harvested","Striatum","Iba1",5.11405089300681e-05,6,14
"Age.Harvested158",278.605159241791,1,51.4302466962036,6.04529271093091e-07,65.2785613065538,"Age.Harvested","Striatum.like.amygdalar.nuclei","Iba1",2.55762383924e-06,6,14
"Age.Harvested159",316.05481135635,1,83.1557121613322,1.45723753625398e-08,72.4816309792784,"Age.Harvested","Striatum_Pallidum","Iba1",1.01761383724734e-07,6,14
"Age.Harvested160",52.6843737288079,1,5.71420150198212,0.0267821327841722,16.0252911894744,"Age.Harvested","Subiculum","Iba1",0.046031790722796,6,14
"Age.Harvested161",132.751956516677,1,12.7170117543175,0.00193481315993193,28.7027718877702,"Age.Harvested","Subparafascicular.nucleus","Iba1",0.00391823258187095,6,14
"Age.Harvested162",196.626104284133,1,50.6708535004953,6.73966074108202e-07,55.3138482670339,"Age.Harvested","Thalamus","Iba1",2.80819197545084e-06,6,14
"Age.Harvested163",289.408366063624,1,34.0040378075082,1.05076339194767e-05,50.7701766845065,"Age.Harvested","Ventral.group.of.the.dorsal.thalamus","Iba1",3.24674081781584e-05,6,14
"Age.Harvested164",21.9120810103699,1,4.82096459871886,0.0400805739046991,15.0443919137149,"Age.Harvested","ventricular.systems","Iba1",0.0660009450526482,6,14
"Age.Harvested165",26.6697060075028,1,74.0978365935091,3.6914853731342e-08,68.465017933694,"Age.Harvested","Ammon.s.horn","AB1.42",2.15991165449341e-07,6,14
"Age.Harvested166",52.1800708068947,1,41.7494027421867,2.66644014151228e-06,51.6652598136392,"Age.Harvested","Anterior.group.of.the.dorsal.thalamus","AB1.42",9.40091075533177e-06,6,14
"Age.Harvested167",62.2834086550858,1,32.4956327271991,1.40525391743304e-05,49.4471358094698,"Age.Harvested","Basolateral.amygdalar.nucleus","AB1.42",4.09951888294917e-05,6,14
"Age.Harvested168",21.4888899220225,1,18.1113692259732,0.000386872156374224,38.0449690016772,"Age.Harvested","Basomedial.amygdalar.nucleus","AB1.42",0.000872047893466488,6,14
"Age.Harvested169",7.29944777951436,1,41.3030858987576,2.87145136755169e-06,48.8288912488903,"Age.Harvested","Caudoputamen","AB1.42",9.9955585579331e-06,6,14
"Age.Harvested170",43.962114631422,1,5.19823788267591,0.033716692312545,11.2106829218706,"Age.Harvested","Claustrum","AB1.42",0.0565371364996943,6,14
"Age.Harvested171",17.0389643572363,1,38.2057196837086,4.87789213394382e-06,49.3651051573448,"Age.Harvested","Cortex","AB1.42",1.59692897242209e-05,6,14
"Age.Harvested172",38.6315034697628,1,27.611356237675,3.83833932902225e-05,43.3603360658928,"Age.Harvested","Cortical.subplate","AB1.42",9.95795580642565e-05,6,14
"Age.Harvested173",22.1338854690066,1,7.74758060836282,0.0114689511573016,24.4322038660897,"Age.Harvested","Dentate.gyrus..granule.cell.layer","AB1.42",0.0211675273037446,6,14
"Age.Harvested174",3.22134798463205,1,16.2414569899352,0.00065575689509844,36.1325559101518,"Age.Harvested","Dentate.gyrus..molecular.layer","AB1.42",0.00139793136551993,6,14
"Age.Harvested175",141.952800576515,1,11.2500101418727,0.00315823011044115,32.1945687596978,"Age.Harvested","Dentate.gyrus..polymorph.layer","AB1.42",0.00624606681679861,6,14
"Age.Harvested176",46.6587935577735,1,19.2171201833272,0.000286905197864598,30.6897813911399,"Age.Harvested","Endopiriform.nucleus","AB1.42",0.000663016213552643,6,14
"Age.Harvested177",58.3438863473641,1,11.6280330264273,0.0027766341943939,31.9515403257173,"Age.Harvested","Entorhinal.area","AB1.42",0.00553314785114727,6,14
"Age.Harvested178",0.680718171632746,1,6.21748263985008,0.0215307202589707,13.311482509943,"Age.Harvested","Epithalamus","AB1.42",0.0377130450395984,6,14
"Age.Harvested179",7.4137303857935,1,76.8797201571776,2.74900373431679e-08,69.4478154605203,"Age.Harvested","fiber.tracts","AB1.42",1.70884107238527e-07,6,14
"Age.Harvested180",15.6959131059996,1,24.9758092943884,6.91136198577192e-05,41.8396981902633,"Age.Harvested","Fundus.of.striatum","AB1.42",0.000174369224411677,6,14
"Age.Harvested181",275.783791054221,1,91.395655633625,6.70440936635836e-09,71.5511067780346,"Age.Harvested","Geniculate.group..dorsal.thalamus","AB1.42",5.58700780529863e-08,6,14
"Age.Harvested182",38.5798121865406,1,30.1802786904783,2.23400140779531e-05,43.7013658665488,"Age.Harvested","Geniculate.group..ventral.thalamus","AB1.42",6.26888150146643e-05,6,14
"Age.Harvested183",34.1260552452202,1,48.8208157883584,8.82848508110373e-07,64.1661476128493,"Age.Harvested","Hippo","AB1.42",3.57034323132871e-06,6,14
"Age.Harvested184",34.2778674870788,1,16.6955055945189,0.000575338987794674,41.1562332489028,"Age.Harvested","Hippocampal.formation","AB1.42",0.00123607985659012,6,14
"Age.Harvested185",2.87259040435597,1,35.2379965043233,8.33524957809347e-06,51.1700041164531,"Age.Harvested","Hypothalamus","AB1.42",2.60476549315421e-05,6,14
"Age.Harvested186",0.799382717097535,1,1.4256433969583,0.246446809940588,5.52274818950988,"Age.Harvested","Induseum.griseum","AB1.42",0.315222663877497,6,14
"Age.Harvested187",151.827925669945,1,87.777205811248,9.35846633187157e-09,65.718528075265,"Age.Harvested","Intralaminar.nuclei.of.the.dorsal.thalamus","AB1.42",7.17686278778301e-08,6,14
"Age.Harvested188",15.5398918191299,1,37.8403402242024,5.20246672370678e-06,49.1102733079012,"Age.Harvested","Isocortex","AB1.42",1.66357947560391e-05,6,14
"Age.Harvested189",0.769829593655496,1,1.93742081021983,0.179235804603821,6.09523154671397,"Age.Harvested","Lateral.amygdalar.nucleus","AB1.42",0.241616893461033,6,14
"Age.Harvested190",191.752596323832,1,57.812957381834,2.53332484158378e-07,58.2023668953346,"Age.Harvested","Lateral.group.of.the.dorsal.thalamus","AB1.42",1.18078700243312e-06,6,14
"Age.Harvested191",16.4142153929283,1,72.4533188358385,4.41268450556249e-08,71.5203160636058,"Age.Harvested","Lateral.septal.complex","AB1.42",2.52810049797851e-07,6,14
"Age.Harvested192",131.471318046341,1,92.7010106876504,5.96037458835437e-09,71.2713635269998,"Age.Harvested","Medial.group.of.the.dorsal.thalamus","AB1.42",5.12219691186703e-08,6,14
"Age.Harvested193",12.8008189117108,1,117.976419589619,7.74398378473455e-10,78.0894266896624,"Age.Harvested","Mid_Hind_Medulla","AB1.42",9.67997973091819e-09,6,14
"Age.Harvested194",13.3126717465999,1,208.507392893292,4.84518283360689e-12,85.0307600530368,"Age.Harvested","Midbrain","AB1.42",2.91471947993603e-10,6,14
"Age.Harvested195",0.968148426666975,1,1.60063949918849,0.22035512170865,4.92397002224074,"Age.Harvested","Midbrain..behavioral.state.related","AB1.42",0.291334896489802,6,14
"Age.Harvested196",18.2621444595102,1,205.044505031015,5.64830278893594e-12,84.5288083634831,"Age.Harvested","Midbrain..motor.related","AB1.42",2.91471947993603e-10,6,14
"Age.Harvested197",1.49552414494692,1,16.7045856031698,0.000573846101087104,34.8396825458165,"Age.Harvested","Midbrain..sensory.related","AB1.42",0.00123607985659012,6,14
"Age.Harvested198",3.35718229376586,1,61.8441578844878,1.51733552235034e-07,56.9323564363131,"Age.Harvested","Midline.group.of.the.dorsal.thalamus","AB1.42",7.72717164159894e-07,6,14
"Age.Harvested199",6.07987936125428,1,35.2948628717457,8.24782547198358e-06,44.3814236527487,"Age.Harvested","Nucleus.accumbens","AB1.42",2.60476549315421e-05,6,14
"Age.Harvested200",61.998344056918,1,33.8450900016477,1.08301550433369e-05,47.582171098202,"Age.Harvested","Olfactory.areas","AB1.42",3.30921404101959e-05,6,14
"Age.Harvested201",20.2808215047002,1,50.0849039045135,7.33550231024215e-07,56.5322703867138,"Age.Harvested","Olfactory.tubercle","AB1.42",3.01084050047252e-06,6,14
